Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
VB,Vanguard Small Cap ETF,Equity,"$42,635,600,000.00",-12.07%,"1,013,825",$198.21,2.35%,No,False,2.89%,1.62%,-10.71%,40.51%,57.43%,"-$343,333,610.88","$44,866,254.51","-$513,673,653.96","$3,133,851,060.56","$11,264,012,021.94","$14,552,574,955.78",Small Cap Growth Equities,2004-01-26,0.05%,2 Platforms,$2.60,2021-09-24,$0.59,1.10%,17.30,1.19,1544,5.21%,40%,20%,1099,$179.35,$198.69,$195.13,$199.78,52.16,A,A,A-,A,A+,A-,5.96,42.93%,34.55%,189.79,4.25%,6.32%
XLK,Technology Select Sector SPDR Fund,Equity,"$41,772,200,000.00",-17.36%,"11,893,923",$143.42,2.42%,No,False,4.82%,1.41%,4.18%,105.94%,168.91%,"$1,982,407.45","-$89,292,180.80","-$388,648,659.80","$2,328,040,355.50","$2,327,706,247.65","$567,277,910.30",Technology Equities,1998-12-16,0.10%,N/A,$1.10,2021-09-20,$0.27,0.67%,27.53,1.04,78,66.24%,40%,20%,1099,$128.49,$143.72,$140.06,$145.10,52.03,A+,A,C+,A+,A-,B+,10.0,100.00%,100.00%,20.85,0.23%,8.29%
ITOT,iShares Core S&P Total U.S. Stock Market ETF,Equity,"$40,594,200,000.00",-12.94%,"2,550,872",$92.83,2.04%,No,False,3.09%,1.09%,-2.94%,55.77%,82.23%,"$949,220,910.00","$114,619,615.00","$280,973,390.00","$4,189,241,800.00","$11,374,506,990.00","$20,431,015,905.00",Large Cap Growth Equities,2004-01-20,0.03%,Fidelity,$1.24,2021-09-24,$0.37,1.17%,32.31,1.03,3608,22.11%,40%,20%,1099,$85.19,$93.08,$91.30,$93.59,51.29,A-,A,A-,A-,A,A,7.69,38.08%,62.88%,149.24,6.33%,5.84%
XLV,Health Care Select Sector SPDR Fund,Equity,"$38,908,800,000.00",-6.47%,"13,820,471",$131.36,0.79%,No,False,-0.36%,0.82%,9.83%,59.23%,86.36%,"$5,972,012,654.35","$760,243,263.10","$2,068,177,415.90","$10,079,162,802.45","$12,912,927,760.60","$11,701,301,164.15",Health & Biotech Equities,1998-12-16,0.10%,N/A,$1.81,2021-09-20,$0.47,1.36%,17.15,0.77,66,54.74%,40%,20%,1099,$125.91,$133.37,$129.22,$132.44,49.21,A+,A,B+,B+,A-,B+,6.56,40.00%,41.72%,15.5,0.00%,11.46%
SCHD,Schwab US Dividend Equity ETF,Equity,"$36,508,600,000.00",-2.14%,"3,298,266",$78.59,0.85%,No,False,0.87%,3.90%,4.84%,74.14%,101.03%,"$6,419,091,000.00","$195,944,000.00","$1,215,525,000.00","$10,749,582,000.00","$20,626,158,074.45","$23,512,244,277.75",Large Cap Blend Equities,2011-10-20,0.06%,Charles Schwab,$2.23,2021-09-22,$0.59,2.83%,19.04,0.96,102,40.82%,40%,20%,1099,$74.01,$79.06,$77.56,$79.11,54.33,A,A,A,A,A,B-,8.87,92.95%,87.47%,85.39,7.36%,6.41%
XLF,Financial Select Sector SPDR Fund,Equity,"$33,749,200,000.00",-9.05%,"71,417,608",$35.38,1.38%,No,False,1.14%,2.52%,-6.00%,44.75%,65.85%,"-$6,040,949,242.75","-$655,549,483.35","-$2,987,160,368.85","-$6,974,354,315.45","$3,304,887,566.75","$2,164,091,324.95",Financials Equities,1998-12-16,0.10%,N/A,$0.60,2021-09-20,$0.16,1.51%,13.80,1.17,68,53.03%,40%,20%,1099,$32.43,$35.73,N/A,N/A,50.73,A+,A,A-,B+,B-,B+,8.38,54.61%,78.71%,47.21,15.41%,0.26%
VEU,Vanguard FTSE All-World ex-US Index Fund,Equity,"$33,211,900,000.00",-9.55%,"5,590,709",$55.33,1.95%,No,False,2.33%,2.73%,-12.24%,23.56%,25.97%,"$1,658,726,276.58","$66,752,044.11","$126,935,503.67","$3,728,585,130.60","$8,737,919,664.53","$13,410,338,559.60",Foreign Large Cap Equities,2007-03-02,0.07%,2 Platforms,$1.49,2021-09-20,$0.37,2.36%,12.80,0.83,3616,9.64%,40%,20%,1099,$50.60,$55.36,$54.73,$55.63,54.56,A+,A,B,B,A-,A,8.09,19.59%,72.22%,211.05,8.72%,6.84%
RSP,Invesco S&P 500® Equal Weight ETF,Equity,"$32,107,100,000.00",-7.49%,"2,992,857",$149.94,1.76%,No,False,2.02%,1.69%,0.17%,57.09%,76.46%,"$3,283,763,470.00","$354,365,500.00","$78,019,250.00","$4,438,177,910.00","$11,253,310,840.00","$11,770,289,390.00",Large Cap Blend Equities,2003-04-24,0.20%,Charles Schwab,$2.07,2021-09-20,$0.56,1.28%,21.97,1.11,505,2.79%,40%,20%,1099,$138.75,$150.63,$147.76,$151.05,52.18,A,B-,B-,B-,B+,A-,7.95,55.90%,68.96%,257.94,8.16%,6.40%
IVW,iShares S&P 500 Growth ETF,Equity,"$30,442,300,000.00",-19.66%,"4,069,094",$67.11,2.60%,No,False,4.84%,0.49%,-1.78%,63.29%,105.09%,"-$1,481,267,435.00","-$82,524,280.00","-$67,150,970.00","-$225,128,695.00","-$3,966,280,185.00","-$3,891,516,760.00",Large Cap Growth Equities,2000-05-22,0.18%,Fidelity,$0.44,2021-09-24,$0.11,0.54%,43.39,0.98,242,52.52%,40%,20%,1099,$60.42,$67.43,$65.63,$67.87,50.45,A,A-,A,A-,A,A-,8.47,85.95%,80.62%,45.02,0.26%,7.43%
SCHX,Schwab U.S. Large-Cap ETF,Equity,"$29,192,200,000.00",-12.81%,"3,576,448",$49.48,2.00%,No,False,3.06%,0.98%,-1.56%,58.13%,86.21%,"$31,135,732,000.00","-$2,097,000.00","$367,179,000.00","$32,847,778,000.00","$36,976,980,106.80","$42,634,861,711.30",Large Cap Growth Equities,2009-11-03,0.03%,Charles Schwab,$1.32,2021-09-22,$0.34,1.17%,26.85,1.01,758,24.38%,40%,20%,1099,$45.47,$49.64,$48.64,$49.90,51.19,A,A+,B,B+,A-,A,7.91,52.65%,68.10%,147.8,6.62%,5.78%
IXUS,iShares Core MSCI Total International Stock ETF,Equity,"$29,051,000,000.00",-10.16%,"3,468,506",$63.73,2.00%,No,False,2.48%,2.44%,-12.72%,22.82%,25.54%,"$79,963,920.00",$0.00,$0.00,"$5,086,541,980.00","$13,681,903,860.00","$22,033,146,980.00",Foreign Large Cap Equities,2012-10-18,0.07%,Fidelity,$1.56,2021-06-10,$0.85,2.11%,19.97,0.84,4249,9.33%,40%,20%,1099,$58.15,$63.72,$63.03,$64.08,54.32,A,A,B+,B+,A-,A,7.92,15.90%,68.21%,215.29,8.30%,7.01%
DIA,SPDR Dow Jones Industrial Average ETF Trust,Equity,"$28,863,300,000.00",-7.74%,"5,477,602",$332.77,1.34%,No,False,1.94%,1.17%,-2.25%,42.25%,74.27%,"$1,485,947,370.10","$165,188,613.55","$269,901,854.75","$251,197,141.25","$2,590,710,857.35","$4,146,844,552.70",Large Cap Growth Equities,1998-01-14,0.16%,N/A,$5.62,2021-10-15,$0.12,1.56%,17.99,0.99,31,53.82%,40%,20%,1099,$310.72,$334.24,$327.83,$335.25,52.37,A+,A-,A,B-,B+,C,9.15,97.54%,91.58%,52.06,6.84%,5.52%
IWR,iShares Russell Midcap ETF,Equity,"$28,268,100,000.00",-11.88%,"2,195,245",$72.95,2.24%,No,False,2.66%,1.33%,-6.10%,44.88%,62.72%,"$1,154,267,945.00","$32,621,100.00","$269,312,435.00","$1,868,384,165.00","$3,550,209,740.00","$4,310,512,450.00",Mid Cap Blend Equities,2001-07-17,0.19%,N/A,$0.84,2021-09-24,$0.26,1.00%,29.54,1.11,825,5.31%,40%,20%,1099,$66.63,$73.13,$71.80,$73.53,51.93,A,A-,B+,B+,B,A,7.52,89.84%,58.71%,244.83,5.18%,6.31%
IWB,iShares Russell 1000 ETF,Equity,"$28,016,600,000.00",-12.70%,"1,154,359",$230.12,1.99%,No,False,3.04%,0.97%,-1.80%,57.43%,84.62%,"$71,841,165.00","$45,637,970.00","$342,517,590.00","$301,638,735.00","-$112,580,705.00","-$2,158,514,365.00",Large Cap Growth Equities,2000-05-15,0.15%,TD Ameritrade,$2.89,2021-09-24,$0.84,1.11%,33.00,1.02,1023,23.80%,40%,20%,1099,$211.53,$230.89,$226.33,$232.05,51.20,A,A-,B,B,B+,A,7.9,51.55%,67.79%,144.53,6.65%,5.84%
EEM,iShares MSCI Emerging Markets ETF,Equity,"$27,788,100,000.00",-11.83%,"57,794,752",$43.07,1.72%,No,False,3.61%,1.63%,-21.73%,12.77%,15.13%,"$2,797,695,855.00",$0.00,"-$57,408,480.00","$3,028,597,335.00","-$2,831,280,750.00","-$3,187,990,890.00",Emerging Markets Equities,2003-04-07,0.68%,N/A,$0.76,2021-06-10,$0.24,1.47%,19.63,0.79,1234,23.32%,40%,20%,1099,$39.14,$42.92,$42.61,$43.31,53.86,A+,B-,B,B,B,A,5.78,38.97%,31.54%,335.02,3.03%,5.47%
SCHF,Schwab International Equity ETF,Equity,"$27,601,800,000.00",-9.26%,"7,898,366",$35.27,2.05%,No,False,1.91%,3.10%,-10.04%,25.62%,27.16%,"$1,715,938,000.00",$0.00,"$332,930,000.00","$4,015,371,000.00","$8,238,051,105.60","$16,425,498,607.10",Foreign Large Cap Equities,2009-11-03,0.06%,Charles Schwab,$0.85,2021-06-23,$0.34,2.12%,19.19,0.84,1520,11.76%,40%,20%,1099,$32.30,$35.37,$34.88,$35.46,54.33,A,A+,B+,A-,B,A,9.1,73.50%,90.91%,152.07,10.90%,7.30%
USMV,iShares MSCI USA Min Vol Factor ETF,Equity,"$26,791,300,000.00",-8.51%,"3,719,340",$73.76,1.19%,No,False,1.25%,0.45%,3.26%,31.67%,62.79%,"-$667,102,930.00","-$297,925,600.00","-$279,874,910.00","-$1,022,246,650.00","-$5,533,741,480.00","$4,394,636,420.00",Large Cap Growth Equities,2011-10-18,0.15%,Fidelity,$1.08,2021-09-24,$0.29,1.38%,30.78,0.75,175,16.25%,40%,20%,1099,$69.68,$74.22,$72.71,$74.29,50.69,A,A,A+,A,B+,B,8.57,89.42%,82.35%,312.75,8.02%,10.29%
IVE,iShares S&P 500 Value ETF,Equity,"$25,374,800,000.00",-3.13%,"1,402,225",$151.04,1.21%,No,False,1.32%,2.07%,2.15%,49.20%,62.33%,"$2,506,237,415.00","$37,298,525.00","$409,842,460.00","$2,463,778,450.00","$4,951,963,905.00","$5,615,190,155.00",Large Cap Blend Equities,2000-05-22,0.18%,2 Platforms,$2.85,2021-09-24,$0.85,1.85%,25.16,1.01,449,18.28%,40%,20%,1099,$141.62,$151.84,$148.98,$152.07,52.79,A,A-,B+,B+,B+,A-,7.68,37.21%,62.63%,249.1,13.27%,3.97%
VV,Vanguard Large Cap ETF,Equity,"$25,215,600,000.00",-13.39%,"550,966",$190.82,1.97%,No,False,3.08%,0.93%,-1.53%,58.28%,86.44%,"$1,412,516,514.15","-$8,668,414.21","$418,243,725.07","$2,508,183,732.99","$4,599,205,020.19","$7,103,111,634.87",Large Cap Growth Equities,2004-01-27,0.04%,Vanguard,$2.55,2021-09-24,$0.64,1.18%,24.60,1.01,592,26.69%,40%,20%,1099,$175.48,$191.57,$187.65,$192.43,51.00,A,A,B+,B,B+,A,7.98,58.59%,69.56%,145.25,6.70%,5.75%
VBR,Vanguard Small Cap Value ETF,Equity,"$24,267,000,000.00",-4.70%,"723,522",$169.84,1.75%,No,False,2.26%,3.06%,-3.34%,46.63%,53.18%,"-$818,060,627.55","$42,206,878.97","-$546,619,412.85","$1,028,909,378.28","$6,034,681,214.63","$7,543,789,304.17",Small Cap Value Equities,2004-01-26,0.07%,2 Platforms,$2.82,2021-09-24,$0.66,1.53%,13.30,1.24,923,5.95%,40%,20%,1099,$154.68,$170.30,$167.64,$170.94,53.80,A,A+,B,A,A,A,6.01,44.78%,35.11%,254.2,5.38%,5.85%
VT,Vanguard Total World Stock ETF,Equity,"$23,815,000,000.00",-11.60%,"3,548,063",$94.73,2.02%,No,False,2.80%,1.76%,-6.68%,41.58%,55.75%,"$1,171,459,616.92","$309,406.94","$6,196,756.36","$5,107,323,450.15","$8,764,619,305.98","$11,900,631,582.84",Large Cap Growth Equities,2008-06-24,0.07%,2 Platforms,$1.72,2021-09-20,$0.41,1.59%,16.50,0.95,9433,14.24%,40%,20%,1099,$87.13,$94.52,$93.39,$95.40,52.45,A,A,A-,A-,B+,A+,7.81,36.05%,65.70%,174.15,7.07%,6.20%
